customer_state,avg_freight,total_freight,freight_pct_of_price,item_count
RR,43.09,1982.05,56.8,46
PB,43.09,25251.73,51.5,586
RO,41.33,11283.24,59.6,273
AC,40.05,3644.36,50.8,91
PI,39.12,20457.19,49.5,523
MA,38.49,30794.17,55.0,800
TO,37.44,11604.86,50.5,310
SE,36.57,13714.94,46.2,375
AL,35.87,15316.77,46.5,427
RN,35.72,18609.12,50.4,521
PA,35.63,37552.98,46.7,1054
AP,34.16,2767.0,38.7,81
AM,33.31,5429.63,50.1,163
CE,32.73,46679.39,43.1,1426
PE,32.69,57082.56,45.0,1746
MT,28.0,29032.8,39.5,1037
BA,26.49,97553.67,39.5,3683
MS,23.35,18937.58,34.1,811
GO,22.56,51375.65,35.0,2277
ES,22.03,49014.48,35.3,2225
RS,21.61,132575.32,35.5,6134
SC,21.51,88115.65,34.7,4097
DF,21.07,49624.94,34.4,2355
RJ,20.91,295750.44,32.8,14143
MG,20.63,266409.84,33.1,12916
PR,20.47,115645.29,34.6,5649
SP,15.12,702069.99,26.5,46448
