category,order_count,items_sold,total_revenue,avg_price,revenue_share_pct
health_beauty,8647,10849,1233131.72,130.28,9.07
watches_gifts,5495,6459,1166176.98,199.04,8.58
bed_bath_table,9272,13485,1023434.76,93.44,7.53
sports_leisure,7530,9698,954852.55,113.25,7.03
computers_accessories,6530,9650,888724.61,116.26,6.54
furniture_decor,6307,11302,711927.69,87.25,5.24
housewares,5743,8831,615628.69,90.6,4.53
cool_stuff,3559,3993,610204.1,164.12,4.49
auto,3810,4772,578966.65,139.85,4.26
toys,3804,4353,471286.48,116.94,3.47
garden_tools,3448,5773,470495.28,110.24,3.46
baby,2809,3331,400421.84,134.28,2.95
perfumery,3086,3703,390144.65,116.81,2.87
telephony,4093,5034,309860.23,69.95,2.28
office_furniture,1254,2510,268154.31,160.76,1.97
stationery,2264,2750,223788.69,90.75,1.65
computers,177,231,218684.14,1098.92,1.61
pet_shop,1688,2252,211695.64,110.03,1.56
musical_instruments,611,706,184315.74,283.13,1.36
small_appliances,609,724,182754.12,277.74,1.34
